,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
radius error,0.6790903880020756,0.27586867617376243,0.691765013533482,0.7325622269972987,0.30146709825316953,0.4974734460850617,0.631924822141491,0.6980498335607402,0.30337926320726255,0.00011099507262942192,1.0,0.21324733725115771,0.9727936770160756,0.9518301121109907,0.16451421981281156,0.3560645755322025,0.33235753760761083,0.5133464414367648,0.24056736245007124,0.22775353267198073,0.7150651951351845,0.1947985568342513,0.719683803665005,0.7515484761266196,0.14191855291860686,0.28710316560074056,0.38058463462872255,0.531062327821604,0.09454283035438184,0.04955943246457305
texture error,-0.09731744314481333,0.3863576227244904,-0.0867610783117948,-0.0662802136045774,0.06840644817118241,0.04620483071640682,0.07621834813534002,0.021479581923401627,0.128052926340256,0.16417396587172925,0.21324733725115771,1.0,0.2231707286307136,0.11156724721803926,0.39724285264120945,0.23169969897623713,0.19499846445881844,0.23028339955703334,0.41162068019753956,0.27972274771919353,-0.11169031312493015,0.4090027663153056,-0.10224192188743302,-0.0831949885850468,-0.07365765910118521,-0.09243935361819385,-0.06895622054645609,-0.11963752313984627,-0.12821475779252972,-0.04565456859320707
perimeter error,0.6741716157641056,0.28167311478720264,0.6931348895408656,0.7266283277906844,0.29609193289351415,0.5489052645888232,0.6603907872419624,0.7106498716138991,0.31389276079651357,0.03982993157204708,0.9727936770160756,0.2231707286307136,1.0,0.9376554069544162,0.1510753312084128,0.4163223679924623,0.36248158227044913,0.5562640836543965,0.2664870918640229,0.244142773416286,0.6972005927206452,0.20037085395945156,0.721031309989018,0.7307129731302835,0.1300543919910095,0.34191944537120594,0.418898815730572,0.5548972306282108,0.10993043423135015,0.08543257205665716
area error,0.735863663212817,0.25984498661009875,0.7449826941190679,0.8000859212343219,0.24655243166573562,0.4556528519878888,0.6174268058452411,0.6902985397595531,0.22397021941762993,-0.09017024752042738,0.9518301121109907,0.11156724721803926,0.9376554069544162,1.0,0.07515033812199386,0.28484005654116107,0.27089472619063176,0.4157295683714001,0.13410897969247482,0.12707090297801274,0.7573731889240158,0.19649664907281048,0.7612126360687592,0.8114079609317282,0.12538943051609117,0.28325653753745567,0.38510013559852924,0.5381663138957361,0.07412629159952798,0.017539295132385387
smoothness error,-0.22260012458211142,0.006613777353585329,-0.20269402629832206,-0.1667766666011127,0.3323754426475924,0.1352992677004715,0.09856374579911736,0.02765330838713621,0.18732116526139062,0.4019644254484123,0.16451421981281156,0.39724285264120945,0.1510753312084128,0.07515033812199386,1.0,0.3366960805054456,0.26868475987226237,0.32842949910967906,0.413506125207898,0.4273742067231579,-0.2306907098451477,-0.0747429648767562,-0.21730375458186194,-0.18219547805909905,0.31445745598082775,-0.05555813871505075,-0.05829838674344536,-0.10200679633746525,-0.10734209778914477,0.10148031504252518
compactness error,0.20599998040769932,0.19197461132396645,0.2507436807405879,0.21258255077923285,0.31894329670537896,0.7387217896603927,0.6702788246430207,0.4904242495935711,0.4216591470050107,0.5598366906211326,0.3560645755322025,0.23169969897623713,0.4163223679924623,0.28484005654116107,0.3366960805054456,1.0,0.8012683427383291,0.7440826676953245,0.394712834762032,0.803268817661768,0.20460716594748157,0.14300258329571644,0.2605158396472091,0.199371329091014,0.22739423230542294,0.6787803543724952,0.6391466977559206,0.483208326825614,0.27787843071463525,0.5909727625047905
concavity error,0.19420362276150901,0.14329307656049847,0.22808234539365804,0.2076600604825693,0.2483956798825553,0.5705168714898885,0.6912702075448516,0.4391670684742612,0.34262702307772047,0.44663032169957073,0.33235753760761083,0.19499846445881844,0.36248158227044913,0.27089472619063176,0.26868475987226237,0.8012683427383291,1.0,0.7718039949238455,0.3094285779844512,0.7273721838811921,0.18690351568589741,0.10024098374834618,0.2266804255909013,0.18835265208953056,0.16848132079136718,0.4848578006864687,0.6625641337427423,0.44047226304622256,0.1977878218614109,0.4393292685757911
concave points error,0.3761689559399259,0.1638510252852181,0.40721691599861876,0.3723202823307099,0.3806756909832856,0.6422618509716466,0.6832599165123271,0.6156341308969195,0.39329787208901673,0.3411980443971178,0.5133464414367648,0.23028339955703334,0.5562640836543965,0.4157295683714001,0.32842949910967906,0.7440826676953245,0.7718039949238455,1.0,0.3127802232097332,0.6110441393807222,0.35812666924104186,0.08674120994286853,0.39499925177418477,0.342271162092682,0.2153505968159331,0.4528883773698811,0.5495923752351928,0.6024496059209878,0.14311566863305,0.31065455149383053
symmetry error,-0.10432088141786558,0.00912716775503605,-0.08162932702839953,-0.07249658821176272,0.20077437592048325,0.22997659080143243,0.17800920792087768,0.0953507868866769,0.4491365423934285,0.3450073971437277,0.24056736245007124,0.41162068019753956,0.2664870918640229,0.13410897969247482,0.413506125207898,0.394712834762032,0.3094285779844512,0.3127802232097332,1.0,0.36907808336572917,-0.1281207690727425,-0.07747342018407907,-0.10375304384332527,-0.11034274289549872,-0.012661799565908724,0.06025487946536666,0.03711904859992852,-0.03041339642360092,0.38940248488464535,0.07807947627266779
fractal dimension error,-0.04264126911445619,0.05445751956893367,-0.005523391057003951,-0.01988696323506802,0.28360669854688497,0.5073181269004226,0.4493007490503385,0.2575837462430327,0.3317861462731245,0.6881315774585515,0.22775353267198073,0.27972274771919353,0.244142773416286,0.12707090297801274,0.4273742067231579,0.803268817661768,0.7273721838811921,0.6110441393807222,0.36907808336572917,1.0,-0.03748761786267336,-0.003195028868089595,-0.0010003976259668357,-0.02273614730890054,0.17056831595314184,0.39015884208667506,0.37997466145707964,0.2152040133100292,0.11109395575572419,0.5913280656608756
worst radius,0.9695389726112066,0.3525729471502956,0.9694763634663136,0.9627460860470832,0.21312014189594852,0.5353153982176652,0.688236407643672,0.8303176311186148,0.18572775349568735,-0.25369149487660947,0.7150651951351845,-0.11169031312493015,0.6972005927206452,0.7573731889240158,-0.2306907098451477,0.20460716594748157,0.18690351568589741,0.35812666924104186,-0.1281207690727425,-0.03748761786267336,1.0,0.35992075422104813,0.9937079161029493,0.9840145644590723,0.21657443125969553,0.4758200374601461,0.5739747080993025,0.7874238517122398,0.2435292042913131,0.09349197867930159
worst texture,0.2970076439863737,0.9120445888404213,0.3030383715571501,0.2874886271213966,0.03607179878564646,0.2481328332774176,0.2998788887096905,0.2927517130015177,0.0906506881166427,-0.05126920203676512,0.1947985568342513,0.4090027663153056,0.20037085395945156,0.19649664907281048,-0.0747429648767562,0.14300258329571644,0.10024098374834618,0.08674120994286853,-0.07747342018407907,-0.003195028868089595,0.35992075422104813,1.0,0.3650982454086191,0.3458422825267967,0.22542941490948687,0.3608323385979729,0.36836560745994545,0.35975460952503696,0.23302746144531722,0.2191224254631585
worst perimeter,0.9651365139559874,0.35803957505322426,0.9703868870426389,0.9591195743552647,0.23885262620915038,0.5902104277312977,0.7295649165132028,0.8559231281343109,0.21916855911105806,-0.20515121126277364,0.719683803665005,-0.10224192188743302,0.721031309989018,0.7612126360687592,-0.21730375458186194,0.2605158396472091,0.2266804255909013,0.39499925177418477,-0.10375304384332527,-0.0010003976259668357,0.9937079161029493,0.3650982454086191,1.0,0.9775780914063872,0.2367746038860695,0.529407690164103,0.6183440795335163,0.8163221016875443,0.269492769083817,0.13895686184575756
worst area,0.9410824595860466,0.3435459471864696,0.9415498080023066,0.9592133256499005,0.20671836342857658,0.5096038055579203,0.6759872313060887,0.8096296199096181,0.17719337737409702,-0.23185445116756076,0.7515484761266196,-0.0831949885850468,0.7307129731302835,0.8114079609317282,-0.18219547805909905,0.199371329091014,0.18835265208953056,0.342271162092682,-0.11034274289549872,-0.02273614730890054,0.9840145644590723,0.3458422825267967,0.9775780914063872,1.0,0.20914533376028968,0.43829628377967356,0.5433305254110796,0.7474188023228182,0.20914550838707863,0.07964703402467596
worst smoothness,0.11961613992160836,0.07750335882212882,0.1505494043170369,0.12352293875557097,0.8053241954943621,0.5655411663750876,0.4488220384047602,0.45275305417904715,0.42667502638494614,0.5049420753517614,0.14191855291860686,-0.07365765910118521,0.1300543919910095,0.12538943051609117,0.31445745598082775,0.22739423230542294,0.16848132079136718,0.2153505968159331,-0.012661799565908724,0.17056831595314184,0.21657443125969553,0.22542941490948687,0.2367746038860695,0.20914533376028968,1.0,0.5681865166856063,0.5185232928640018,0.5476909029497863,0.4938383302357588,0.6176241916554385
worst compactness,0.4134628230608015,0.27782959247897965,0.45577422803832673,0.3904103092424984,0.4724684437304434,0.8658090398022631,0.7549680159063963,0.6674536768257118,0.47320001324461824,0.4587981566678596,0.28710316560074056,-0.09243935361819385,0.34191944537120594,0.28325653753745567,-0.05555813871505075,0.6787803543724952,0.4848578006864687,0.4528883773698811,0.06025487946536666,0.39015884208667506,0.4758200374601461,0.3608323385979729,0.529407690164103,0.43829628377967356,0.5681865166856063,1.0,0.8922608987764685,0.8010803646352529,0.6144405011493057,0.8104548563116125
worst concavity,0.5269114618385451,0.3010252238164913,0.5638792634736615,0.5126059204433244,0.4349257147250867,0.8162752498000299,0.8841026390943829,0.752399497574964,0.4337210075901729,0.3462338763480679,0.38058463462872255,-0.06895622054645609,0.418898815730572,0.38510013559852924,-0.05829838674344536,0.6391466977559206,0.6625641337427423,0.5495923752351928,0.03711904859992852,0.37997466145707964,0.5739747080993025,0.36836560745994545,0.6183440795335163,0.5433305254110796,0.5185232928640018,0.8922608987764685,1.0,0.8554338603439992,0.5325197291183614,0.6865109212448646
worst concave points,0.7442141978674656,0.29531584333773675,0.7712407893605484,0.7220166262603591,0.5030533532989496,0.8155732235690637,0.8613230336379508,0.9101553142985929,0.4302966114579541,0.17532544924324459,0.531062327821604,-0.11963752313984627,0.5548972306282108,0.5381663138957361,-0.10200679633746525,0.483208326825614,0.44047226304622256,0.6024496059209878,-0.03041339642360092,0.2152040133100292,0.7874238517122398,0.35975460952503696,0.8163221016875443,0.7474188023228182,0.5476909029497863,0.8010803646352529,0.8554338603439992,1.0,0.5025284938306975,0.5111141458863389
worst symmetry,0.1639533349363073,0.10500791031597209,0.1891150404624575,0.14356991388907125,0.3943094818117554,0.510223429921806,0.4094641265399866,0.37574414542361045,0.6998257976437305,0.3340186838510827,0.09454283035438184,-0.12821475779252972,0.10993043423135015,0.07412629159952798,-0.10734209778914477,0.27787843071463525,0.1977878218614109,0.14311566863305,0.38940248488464535,0.11109395575572419,0.2435292042913131,0.23302746144531722,0.269492769083817,0.20914550838707863,0.4938383302357588,0.6144405011493057,0.5325197291183614,0.5025284938306975,1.0,0.5378482062536083
worst fractal dimension,0.007065885692182571,0.11920535139708555,0.051018529723406675,0.0037375973515715723,0.4993163685937661,0.6873823227538965,0.5149298906363865,0.36866113371677084,0.4384134984446028,0.7672967792384358,0.04955943246457305,-0.04565456859320707,0.08543257205665716,0.017539295132385387,0.10148031504252518,0.5909727625047905,0.4393292685757911,0.31065455149383053,0.07807947627266779,0.5913280656608756,0.09349197867930159,0.2191224254631585,0.13895686184575756,0.07964703402467596,0.6176241916554385,0.8104548563116125,0.6865109212448646,0.5111141458863389,0.5378482062536083,1.0
